GENE	LOEUF	pLI
ARFGAP2	0.54	0
PACSIN3	0.64	0
DDB2	0.85	0
ACP2	0.75	0
NR1H3	0.37	0.9
MADD	0.58	0
MYBPC3	0.59	0
SPI1	0.24	0.98
SLC39A13	0.8	0
PSMC3	0.34	0.95
RAPSN	0.74	0
CELF1	0.17	1
NDUFS3	1.03	0
PTPMT1	1.16	0.01
KBTBD4	0.94	0
KBTBD4	1.88	0.3
FAM180B	1.21	0
C1QTNF4	0.99	0.17
MTCH2	0.56	0.03
AGBL2	0.89	0
FNBP4	0.14	1
NUP160	0.42	0
PTPRJ	0.63	0
OR4B1	1.69	0
OR4X2	1.96	0
OR4X1	1.9	0
OR4S1	1.84	0
OR4C3	1.98	0
OR4C5	1.66	0
OR4A47	1.94	0
TRIM49B	1.5	0
TRIM64C	1.51	0
FOLH1	0.74	0
OR4C13	1.98	0
OR4C12	1.89	0
OR4C46	1.98	0
OR4A5	1.95	0
TRIM48	1.99	0
OR4A16	1.88	0
OR4A15	NA	 NA
OR4C15	1.96	0
OR4C16	1.93	0
OR4C11	1.91	0
OR4P4	1.54	0.02
OR4S2	1.97	0
OR4C6	1.89	0.01
OR5D13	NA	 NA
OR5D14	1.94	0
OR5L1	NA	 NA
OR5D18	1.78	0
OR5L2	1.93	0
OR5D16	NA	 NA
TRIM51	1.41	0
OR5W2	1.73	0
OR5I1	1.94	0
OR10AG1	1.91	0
OR5F1	1.96	0
OR5AS1	1.82	0
OR8I2	1.87	0
OR8H2	1.88	0
OR8H3	1.72	0.01
OR8J3	1.92	0.07
OR8K5	1.9	0
OR5J2	1.75	0
OR5T2	1.81	0
OR5T3	1.8	0
OR5T1	NA	 NA
OR8H1	1.95	0
OR8K3	1.89	0
OR8K1	1.91	0
OR8J1	1.91	0
OR8U1	1.91	0
OR5R1	1.75	0
OR5M9	1.62	0
OR5M3	1.92	0
OR5M8	1.37	0.03
OR5M11	1.83	0
OR5M10	1.95	0.01
OR5M1	1.8	0
OR5AP2	1.57	0
OR5AR1	1.94	0
OR9G1	1.78	0
OR9G4	1.86	0
OR5AK2	1.72	0
LRRC55	0.86	0.04
APLNR	0.5	0.79
TNKS1BP1	0.38	0.08
SSRP1	0.28	1
P2RX3	0.93	0
PRG3	1.14	0
PRG2	1.27	0
RP11-872D17.8	1.86	0
SLC43A3	0.86	0
RTN4RL2	0.42	0.88
SLC43A1	0.75	0
TIMM10	1.85	0
SMTNL1	1.33	0
UBE2L6	1.34	0.01
SERPING1	0.32	0.96
YPEL4	0.94	0.2
CLP1	0.59	0.2
ZDHHC5	0.09	1
MED19	0.59	0.78
TMX2	0.47	0.65
C11orf31	1.86	0
BTBD18	0.21	1
CTNND1	0.18	1
OR9Q1	1.63	0
OR6Q1	1.44	0
OR9I1	0.98	0.38
OR9Q2	1.89	0
OR1S2	1.87	0
OR1S1	1.89	0
OR10Q1	1.82	0
OR10W1	1.59	0.02
OR5B17	1.59	0.44
OR5B3	1.87	0
OR5B2	1.47	0.07
OR5B12	1.48	0.02
OR5B21	1.94	0
LPXN	0.99	0
ZFP91	0.17	1
AP001350.1	NA	 NA
CNTF	1.74	0
GLYAT	1.71	0
GLYATL2	1.65	0
GLYATL1	0.92	0
AP001652.1	1.52	0.2
FAM111B	1.88	0.1
FAM111A	1.95	0
DTX4	0.48	0.22
MPEG1	1.63	0
OR5AN1	1.85	0
OR5A2	NA	 NA
OR5A1	1.63	0
OR4D6	1.5	0.01
OR4D10	1.59	0
OR4D11	1.92	0
OR4D9	1.59	0
OSBP	0.26	1
PATL1	0.32	0.96
OR10V1	1.63	0
STX3	0.6	0.04
MRPL16	1.41	0
GIF	0.82	0
TCN1	1.72	0
OOSP1	0.97	0.38
OOSP2	1.33	0.03
MS4A3	1.4	0
MS4A2	1.73	0
MS4A6A	1.95	0
MS4A4A	1.35	0
MS4A4E	1.89	0
MS4A6E	1.31	0.03
MS4A7	1.51	0
MS4A14	1.76	0
MS4A5	1.44	0
MS4A1	1.27	0
MS4A12	1.79	0
MS4A13	1.6	0
MS4A8	1.41	0
MS4A18	1.24	0
MS4A15	1.4	0
MS4A10	1.82	0
CCDC86	1.02	0
PTGDR2	1.72	0
ZP1	1.33	0
PRPF19	0.11	1
TMEM109	1.19	0
TMEM132A	0.8	0
SLC15A3	1.37	0
CD6	0.66	0
CD5	1.03	0
VPS37C	0.86	0.04
PGA3	1.25	0.1
PGA4	1.87	0.31
PGA5	1.93	0
VWCE	0.8	0
DDB1	0.24	1
DAK	1.13	0
CYB561A3	0.9	0.01
TMEM138	1.11	0.05
TMEM216	1.37	0
CPSF7	0.2	1
RP11-286N22.8	1.65	0
SDHAF2	1.81	0
PPP1R32	1.27	0
LRRC10B	1.72	0.04
SYT7	0.33	0.96
DAGLA	0.17	1
MYRF	0.12	1
TMEM258	1.81	0
FEN1	1.28	0
FADS2	0.23	1
FADS1	0.45	0.37
FADS3	0.62	0
RAB3IL1	0.78	0
BEST1	1.49	0
FTH1	0.78	0.14
INCENP	0.34	0.89
SCGB1D1	1.97	0
SCGB2A1	1.41	0.23
SCGB1D2	1.27	0.27
SCGB2A2	1.91	0
SCGB1D4	1.6	0.06
ASRGL1	1.39	0
SCGB1A1	1.92	0
AHNAK	0.31	0.9
EEF1G	0.17	1
TUT1	0.83	0
MTA2	0.36	0.74
EML3	0.56	0
ROM1	1.1	0
B3GAT3	1.33	0
GANAB	0.27	1
INTS5	0.42	0.51
RP11-831H9.11	1.44	0.02
C11orf48	1.19	0
METTL12	1.35	0
C11orf83	1.82	0.03
UBXN1	0.45	0.73
LRRN4CL	1.93	0
BSCL2	1.01	0
GNG3	1.22	0.54
HNRNPUL2	0.23	1
TTC9C	1.29	0
ZBTB3	0.68	0.02
POLR2G	1.42	0
TAF6L	0.52	0.07
TMEM223	1.81	0
TMEM179B	1.18	0
NXF1	0.31	0.98
STX5	0.4	0.84
WDR74	1.12	0
SLC3A2	0.91	0
CHRM1	0.21	0.99
SLC22A6	0.99	0
SLC22A8	1.15	0
SLC22A24	1.46	0
SLC22A25	1.58	0
SLC22A10	1.54	0
SLC22A9	1.61	0
HRASLS5	1.34	0
LGALS12	1.59	0
RARRES3	1.92	0
HRASLS2	1.83	0
PLA2G16	1.86	0
ATL3	0.9	0
RTN3	0.62	0
C11orf84	0.21	0.99
MARK2	0.16	1
RCOR2	0.46	0.21
NAA40	1.28	0
COX8A	1.84	0.12
AP000721.4	1.33	0.09
OTUB1	0.31	0.97
MACROD1	0.5	0.57
FLRT1	0.59	0.36
STIP1	0.2	1
FERMT3	0.56	0
TRPT1	1	0
NUDT22	1.35	0
DNAJC4	1.73	0
VEGFB	1.87	0
FKBP2	1.09	0.05
PPP1R14B	1.55	0
PLCB3	0.31	0.94
BAD	1.53	0
GPR137	0.43	0.67
KCNK4	0.83	0.01
TEX40	1.02	0.02
ESRRA	0.49	0.6
TRMT112	1.09	0.14
PRDX5	1.28	0
CCDC88B	0.53	0
RPS6KA4	0.27	1
AP003774.4	1.73	0.39
SLC22A11	1.02	0
SLC22A12	1.3	0
NRXN2	0.26	1
RASGRP2	0.45	0.24
PYGM	0.87	0
SF1	0.18	1
MAP4K2	0.69	0
MEN1	0.17	1
CDC42BPG	0.84	0
EHD1	0.28	0.98
ATG2A	0.35	0.05
PPP2R5B	0.3	0.98
GPHA2	1.94	0
C11orf85	1.06	0
BATF2	1.07	0.59
ARL2	1	0.02
SNX15	1.05	0
SAC3D1	1.73	0
NAALADL1	1.2	0
CDCA5	1.14	0
ZFPL1	0.77	0.01
TMEM262	1.85	0
VPS51	0.92	0
TM7SF2	1.02	0
ZNHIT2	1.43	0
FAU	0.48	0.85
SYVN1	0.17	1
MRPL49	1.5	0
SPDYC	1.04	0
AP003068.23	1.95	0
CAPN1	0.71	0
POLA2	0.65	0
CDC42EP2	1.77	0.04
DPF2	0.16	1
TIGD3	1.49	0
SLC25A45	1.36	0
FRMD8	0.53	0.11
AP000769.1	1.62	0.05
SCYL1	0.68	0
LTBP3	0.34	0.69
AP001362.1	1.31	0.26
SSSCA1	1.73	0
FAM89B	1.65	0.05
EHBP1L1	0.66	0
KCNK7	1.67	0
MAP3K11	0.48	0.01
PCNXL3	0.23	1
SIPA1	0.51	0
RELA	0.18	1
KAT5	0.47	0.09
RNASEH2C	1.47	0.01
AP5B1	1.24	0
OVOL1	0.42	0.88
CFL1	0.72	0.56
SNX32	1.4	0
MUS81	0.99	0
EFEMP2	0.6	0.01
CTSW	1.38	0
FIBP	1.04	0
CCDC85B	1.14	0.31
FOSL1	0.75	0.16
C11orf68	0.84	0.25
DRAP1	0.8	0.13
SART1	0.34	0.88
EIF1AD	1.19	0
BANF1	0.87	0.65
CST6	0.99	0.37
CATSPER1	0.99	0
GAL3ST3	1.79	0
SF3B2	0.22	1
RP11-1167A19.2	1.52	0.46
PACS1	0.18	1
KLC2	0.32	0.98
RAB1B	0.42	0.88
CNIH2	0.31	0.95
YIF1A	1.58	0
TMEM151A	0.94	0
CD248	0.57	0.06
RIN1	0.92	0
BRMS1	1.14	0
B3GNT1	0.8	0.01
RP11-867G23.8	1.9	0.02
SLC29A2	1.41	0
NPAS4	0.32	0.97
MRPL11	1.88	0
PELI3	0.66	0.01
DPP3	0.81	0
CTD-3074O7.11	0.92	0
BBS1	0.98	0
ZDHHC24	1.41	0
CTSF	1.2	0
CCDC87	1.41	0
CCS	1.37	0
RBM14	0.2	1
RBM14-RBM4	0.24	0.98
RBM4	0.22	0.99
RBM4B	0.77	0.02
SPTBN2	0.36	0
C11orf80	0.96	0
RCE1	0.62	0.16
PC	0.43	0.01
LRFN4	0.39	0.91
C11orf86	1.9	0
SYT12	1.02	0
RHOD	1.09	0.02
KDM2A	0.04	1
ADRBK1	0.18	1
ANKRD13D	0.43	0.35
SSH3	1.02	0
AP001885.1	NA	 NA
RAD9A	1.05	0
POLD4	1.07	0.15
CLCF1	0.32	0.95
PPP1CA	0.27	0.99
TBC1D10C	0.51	0.15
CARNS1	0.86	0
RPS6KB2	1.54	0
PTPRCAP	1.23	0.54
CORO1B	0.78	0
GPR152	1.44	0
CABP4	1.54	0
TMEM134	1.88	0
AIP	0.52	0.36
PITPNM1	0.43	0
CDK2AP2	0.58	0.79
CABP2	0.97	0
GSTP1	0.85	0.01
C11orf72	NA	 NA
NDUFV1	1.21	0
NUDT8	1.8	0
TBX10	1.36	0
ACY3	1.43	0
ALDH3B2	1.66	0
UNC93B1	0.51	0.14
ALDH3B1	0.99	0
NDUFS8	0.74	0.17
TCIRG1	0.87	0
CHKA	0.48	0.23
SUV420H1	0.08	1
C11orf24	1.76	0
LRP5	0.34	0.51
PPP6R3	0.28	0.99
GAL	1.75	0
MTL5	0.85	0
CPT1A	0.66	0
MRPL21	1.87	0
IGHMBP2	0.95	0
MRGPRD	NA	 NA
MRGPRF	0.97	0.02
TPCN2	0.69	0
MYEOV	1.93	0
CCND1	0.41	0.89
ORAOV1	1.38	0
FGF19	1.12	0.57
FGF4	1.09	0.14
FGF3	1.78	0
ANO1	0.33	0.87
FADD	1.28	0.53
PPFIA1	0.07	1
CTTN	0.43	0.09
SHANK2	0.46	0
DHCR7	1.35	0
NADSYN1	0.94	0
KRTAP5-7	1.89	0.09
KRTAP5-8	1.89	0.1
KRTAP5-9	1.93	0.01
KRTAP5-10	1.98	0
KRTAP5-11	1.75	0.38
FAM86C1	1.95	0
DEFB108B	1.96	0
RP11-849H4.2	1.77	0
RNF121	0.49	0.32
IL18BP	1.82	0
NUMA1	0.22	1
LRTOMT	1.2	0
LAMTOR1	0.56	0.72
ANAPC15	0.78	0.3
FOLR3	1.1	0.02
FOLR1	0.65	0.13
FOLR2	1.42	0
INPPL1	0.42	0
PHOX2A	0.8	0.49
CLPB	0.54	0
PDE2A	0.35	0.63
ARAP1	0.35	0.12
STARD10	0.97	0
ATG16L2	1.08	0
FCHSD2	0.37	0.57
P2RY2	0.91	0.08
P2RY6	1.88	0
ARHGEF17	0.29	0.98
RELT	0.93	0
FAM168A	0.23	0.99
PLEKHB1	0.99	0
RAB6A	0.34	0.95
MRPL48	0.87	0
COA4	1.48	0.21
PAAF1	1.21	0
DNAJB13	0.78	0
UCP2	1.55	0
UCP3	1.74	0
C2CD3	0.64	0
PPME1	0.19	1
P4HA3	0.94	0
PGM2L1	0.5	0.03
KCNE3	1.49	0.47
LIPT2	0.94	0.63
POLD3	0.24	1
CHRDL2	0.89	0
RNF169	0.55	0.04
XRRA1	0.78	0
SPCS2	0.35	0.93
NEU3	1.34	0
OR2AT4	1.62	0
SLCO2B1	0.67	0
TPBGL	1.62	0.43
ARRB1	0.26	0.99
RPS3	0.38	0.92
KLHL35	1.9	0
GDPD5	0.6	0
SERPINH1	0.75	0.03
MAP6	0.57	0.4
MOGAT2	0.74	0.01
DGAT2	1.25	0
UVRAG	0.29	0.99
WNT11	0.81	0.01
PRKRIR	0.32	0.97
RP11-111M22.2	1.51	0
C11orf30	0.15	1
LRRC32	0.92	0
TSKU	0.47	0.85
ACER3	0.39	0.87
B3GNT6	1.89	0
CAPN5	0.78	0
OMP	1.8	0
MYO7A	0.85	0
GDPD4	1.11	0
PAK1	0.56	0
CLNS1A	0.72	0.08
AQP11	1.35	0
RSF1	0.04	1
AAMDC	1.84	0
INTS4	0.7	0
KCTD14	1.77	0
NDUFC2-KCTD14	0.86	0.66
THRSP	1.69	0
NDUFC2	0.8	0.68
ALG8	0.83	0
KCTD21	1.68	0
USP35	0.72	0
GAB2	0.3	0.98
NARS2	0.86	0
TENM4	0.17	1
FAM181B	1.49	0.07
PRCP	1.15	0
C11orf82	0.86	0
RAB30	0.38	0.92
PCF11	0.04	1
ANKRD42	1.23	0
CCDC90B	1.1	0
DLG2	0.34	0.71
TMEM126B	1.64	0
TMEM126A	1.33	0
CREBZF	0.86	0.1
CCDC89	1.18	0
SYTL2	1.01	0
AP000974.1	NA	 NA
CCDC83	1.1	0
PICALM	0.23	1
EED	0.19	1
C11orf73	0.59	0.52
CCDC81	1.22	0
ME3	1.07	0
PRSS23	1	0
FZD4	0.31	0.97
TMEM135	0.39	0.78
RAB38	1.36	0
CTSC	1.03	0
GRM5	0.25	1
TYR	1.96	0
NOX4	1.14	0
TRIM77	1.31	0
TRIM49	1.82	0
TRIM64B	1.3	0
TRIM49D1	1.89	0.29
TRIM49C	1.7	0
NAALAD2	1.09	0
CHORDC1	0.38	0.9
FAT3	0.25	1
MTNR1B	1.29	0
SLC36A4	1.59	0
CCDC67	0.99	0
SMCO4	1.97	0
KIAA1731	0.49	0
TAF1D	1.35	0
C11orf54	1.52	0
MED17	0.78	0
VSTM5	1.85	0
HEPHL1	1.18	0
PANX1	1.12	0
FOLR4	1.94	0
GPR83	1.24	0
MRE11A	0.84	0
ANKRD49	1.34	0
PIWIL4	0.58	0
FUT4	1.14	0
AMOTL1	0.47	0
CWC15	0.26	0.98
KDM4D	1.61	0.43
KDM4E	1.32	0.51
ENDOD1	1.65	0
SESN3	0.41	0.68
FAM76B	0.48	0.34
CEP57	0.48	0.07
MTMR2	0.65	0
MAML2	0.23	1
CCDC82	0.86	0
JRKL	0.85	0
CNTN5	0.48	0
ARHGAP42	0.15	1
TMEM133	NA	 NA
PGR	0.47	0.05
TRPC6	0.65	0
ANGPTL5	1.3	0
KIAA1377	0.96	0
C11orf70	1.14	0
YAP1	0.19	1
BIRC3	0.52	0.07
BIRC2	0.43	0.43
TMEM123	0.62	0.65
RP11-315O6.2	NA	 NA
MMP7	1.52	0
MMP20	1.37	0
RP11-817J15.3	1.92	0.07
MMP27	1.7	0
MMP8	1.76	0
MMP10	1.41	0
MMP1	1.52	0
MMP3	1.42	0
MMP13	1.52	0
DCUN1D5	0.19	0.99
DYNC2H1	0.58	0
PDGFD	0.73	0
DDI1	1.64	0
CASP12	1.09	0
CASP4	1.17	0
CASP5	1.55	0
CASP1	0.92	0
CARD16	0.97	0.38
CARD17	1.83	0
CARD18	1.85	0
GRIA4	0.43	0.02
MSANTD4	0.71	0.01
KBTBD3	0.88	0
AASDHPPT	0.72	0.03
GUCY1A2	0.43	0.31
CWF19L2	0.84	0
ALKBH8	0.67	0
ELMOD1	0.42	0.79
AP000889.3	1.7	0
SLN	1.89	0.29
SLC35F2	0.96	0
RAB39A	1.21	0
CUL5	0.16	1
ACAT1	1.05	0
NPAT	0.37	0.28
ATM	0.71	0
C11orf65	1.75	0
KDELC2	1.17	0
EXPH5	0.94	0
DDX10	0.95	0
C11orf87	1.24	0.28
RDX	0.35	0.85
ZC3H12C	0.25	1
FDX1	1.36	0.09
ARHGAP20	0.43	0.03
C11orf53	1.36	0
COLCA1	NA	 NA
COLCA2	0.65	0.75
POU2AF1	0.57	0.57
RP11-794P6.2	0.76	0.15
BTG4	0.74	0.17
C11orf88	1.16	0
LAYN	1.43	0
SIK2	0.28	1
PPP2R1B	1.06	0
ALG9	0.65	0
FDXACB1	1.18	0
C11orf1	1.85	0
CRYAB	1.43	0.02
HSPB2	1.48	0
C11orf52	1.69	0
DIXDC1	0.75	0
DLAT	0.86	0
PIH1D2	1.48	0
C11orf57	0.61	0.31
TIMM8B	1.8	0.01
SDHD	0.73	0.34
IL18	1.28	0.03
TEX12	1.78	0
BCO2	1.28	0
PTS	1.69	0
PLET1	1.67	0
AP002884.3	1.42	0
NCAM1	0.18	1
TTC12	1.05	0
ANKK1	1.16	0
DRD2	0.44	0.75
TMPRSS5	1.05	0
ZW10	0.53	0
CLDN25	1.93	0
USP28	0.65	0
HTR3B	0.96	0
HTR3A	1.14	0
ZBTB16	0.19	1
NNMT	1.86	0
C11orf71	1.5	0.21
RBM7	0.52	0.65
REXO2	0.77	0.02
NXPE1	1.85	0
NXPE4	1.58	0
NXPE2	1.27	0
CADM1	0.44	0.66
BUD13	0.77	0
ZNF259	0.94	0
APOA5	1.6	0
APOA4	1.19	0
APOC3	1.76	0.01
APOA1	1.34	0
SIK3	0.13	1
PAFAH1B2	0.36	0.93
SIDT2	0.67	0
TAGLN	0.91	0.09
PCSK7	0.51	0
RNF214	0.35	0.91
BACE1	0.37	0.88
CEP164	0.84	0
DSCAML1	0.17	1
FXYD2	1.2	0.11
FXYD6-FXYD2	0.45	0.85
FXYD6	0.65	0.62
TMPRSS13	0.9	0
IL10RA	0.69	0.02
TMPRSS4	1.01	0
SCN4B	1.78	0
SCN2B	1.4	0
AMICA1	0.82	0
MPZL3	1.95	0
MPZL2	1.86	0
CD3E	0.92	0
CD3D	1.46	0
CD3G	1.22	0
UBE4A	0.39	0.11
RP11-770J1.5	1.83	0.12
ATP5L	1.55	0
RP11-770J1.4	1.6	0.02
KMT2A	0.07	1
TTC36	1.59	0
TMEM25	1.56	0
IFT46	0.54	0.17
ARCN1	0.1	1
PHLDB1	0.37	0.11
TREH	1.02	0
DDX6	0.17	1
CXCR5	0.55	0.73
BCL9L	0.24	1
UPK2	1.9	0
FOXR1	1.18	0
CCDC84	1.27	0
RPS25	0.46	0.86
TRAPPC4	1.48	0
SLC37A4	0.88	0
HYOU1	0.33	0.86
VPS11	0.54	0
HMBS	0.34	0.95
H2AFX	1.63	0.18
DPAGT1	1.08	0
C2CD2L	0.3	0.99
HINFP	0.51	0.04
ABCG4	0.82	0
NLRX1	1.54	0
PDZD3	1.27	0
CCDC153	1.23	0
CBL	0.5	0
MCAM	0.58	0
AP002956.1	1.8	0.36
RNF26	0.52	0.65
C1QTNF5	0.5	0.84
MFRP	1.22	0
USP2	0.56	0
THY1	1.08	0.05
PVRL1	0.57	0.06
TRIM29	0.95	0
AP000679.2	NA	 NA
OAF	1.18	0
POU2F3	0.83	0
TMEM136	1.08	0.01
ARHGEF12	0.18	1
GRIK4	0.41	0.11
TBCEL	0.31	0.97
TECTA	0.58	0
SC5D	0.97	0
SORL1	0.44	0
BLID	NA	 NA
UBASH3B	0.6	0
CRTAM	1.17	0
C11orf63	0.92	0
BSX	1.33	0.01
HSPA8	0.2	1
CLMP	1	0
GRAMD1B	0.24	1
AP000783.1	0.75	0.7
SCN3B	0.8	0.05
ZNF202	0.42	0.53
OR6X1	1.54	0
OR6M1	1.8	0
TMEM225	1.42	0
OR8D4	1.16	0.12
OR4D5	1.87	0
OR6T1	1.44	0
OR10S1	1.87	0
OR10G4	1.93	0
OR10G9	1.9	0
OR10G8	1.56	0.02
OR10G7	1.85	0
VWA5A	1.46	0
OR10D3	1.48	0.02
OR8G1	1.63	0
OR8G5	1.56	0.02
OR8D1	NA	 NA
OR8D2	1.49	0.21
OR8B2	1.93	0.02
OR8B3	1.65	0.01
OR8B4	1.32	0.03
OR8B8	1.63	0.01
OR8B12	1.3	0.26
OR8A1	1.5	0.01
PANX3	1.08	0
TBRG1	0.86	0
SIAE	1.16	0
SPA17	1.4	0.01
NRGN	1.44	0.48
VSIG2	1.1	0
ESAM	0.59	0.2
MSANTD2	0.37	0.9
ROBO3	0.71	0
ROBO4	0.91	0
RP11-664I21.6	1.7	0.4
HEPACAM	0.41	0.87
HEPN1	NA	 NA
CCDC15	1.06	0
SLC37A2	1.12	0
TMEM218	1.83	0
PKNOX2	0.27	0.99
FEZ1	0.41	0.75
AP000708.1	1.82	0.12
EI24	0.42	0.73
STT3A	0.49	0
CHEK1	0.93	0
ACRV1	1.43	0
PATE1	1.95	0
PATE2	1.74	0
PATE3	1.7	0.05
PATE4	1.85	0
HYLS1	1.43	0
PUS3	1.11	0
DDX25	1.31	0
CDON	0.78	0
RPUSD4	1.16	0
FAM118B	0.68	0.02
SRPR	0.39	0.78
FOXRED1	1.32	0
TIRAP	1.66	0
RP11-712L6.5	1.77	0.37
DCPS	1.24	0
ST3GAL4	0.61	0.04
KIRREL3	0.32	0.97
ETS1	0.39	0.78
FLI1	0.28	0.99
KCNJ1	1.28	0
KCNJ5	1.14	0
C11orf45	1.7	0.01
TP53AIP1	1.95	0
ARHGAP32	0.25	1
BARX2	0.69	0.21
TMEM45B	1.81	0
NFRKB	0.37	0.13
PRDM10	0.37	0.15
APLP2	0.39	0.38
ST14	0.38	0.56
ZBTB44	0.14	1
ADAMTS8	0.91	0
ADAMTS15	0.72	0
C11orf44	1.76	0
SNX19	0.86	0
NTM	0.65	0.06
OPCML	0.57	0.23
SPATA19	1.49	0
IGSF9B	0.32	0.87
JAM3	0.84	0
NCAPD3	0.49	0
VPS26B	0.32	0.97
THYN1	1.92	0
ACAD8	1.27	0
GLB1L3	1.21	0
GLB1L2	1.12	0
B3GAT1	0.64	0.14
AP003062.1	NA	 NA
IQSEC3	0.47	0
AC026369.1	1.89	0.29
SLC6A12	0.82	0
SLC6A13	0.98	0
KDM5A	0.16	1
CCDC77	1.31	0
B4GALNT3	0.78	0
NINJ2	1.55	0
WNK1	0.13	1
RAD52	1.11	0
ERC1	0.54	0
WNT5B	0.49	0.59
FBXL14	0.47	0.83
ADIPOR2	0.52	0.36
CACNA2D4	1.01	0
LRTM2	0.43	0.87
DCP1B	1.05	0
CACNA1C	0.1	1
FKBP4	0.5	0.16
AC005841.1	1.94	0
ITFG2	0.95	0
NRIP2	1.54	0
FOXM1	0.59	0
RHNO1	1.25	0
TULP3	0.88	0
TEAD4	0.81	0
TSPAN9	0.52	0.66
PRMT8	0.3	0.98
EFCAB4B	0.87	0
PARP11	1.19	0
CCND2	0.23	0.99
C12orf5	0.55	0.73
FGF23	1.28	0.03
FGF6	1.43	0
C12orf4	0.67	0
RAD51AP1	0.74	0.01
DYRK4	1.51	0
AKAP3	0.53	0.06
NDUFA9	0.64	0
GALNT8	1.39	0
KCNA6	0.53	0.5
KCNA1	0.73	0.08
KCNA5	0.92	0
NTF3	0.37	0.93
ANO2	0.96	0
VWF	0.59	0
CD9	0.86	0
PLEKHG6	1	0
TNFRSF1A	0.24	0.99
SCNN1A	0.91	0
LTBR	0.49	0.31
CD27	0.92	0.01
TAPBPL	1.22	0
VAMP1	1.15	0
MRPL51	1.26	0.03
NCAPD2	0.58	0
GAPDH	0.67	0.11
IFFO1	0.69	0
NOP2	0.17	1
CHD4	0.16	1
LPAR5	1.07	0.05
ACRBP	0.93	0
ING4	0.74	0.03
ZNF384	0.23	1
PIANP	0.58	0.38
COPS7A	0.69	0.04
MLF2	0.41	0.86
PTMS	0.93	0.2
LAG3	0.5	0.28
CD4	0.71	0
GPR162	0.66	0.01
LEPREL2	1.01	0
GNB3	1.38	0
CDCA3	0.5	0.69
USP5	0.32	0.96
TPI1	0.73	0.03
SPSB2	1	0.02
LRRC23	1.22	0
ENO2	0.47	0.38
ATN1	0.19	1
C12orf57	1.86	0
PTPN6	0.13	1
PHB2	0.66	0
EMG1	1.25	0
LPCAT3	0.27	1
C1S	0.6	0
C1R	0.39	0.78
C1RL	1.16	0
RBP5	1.59	0
CLSTN3	0.32	0.97
PEX5	0.59	0
ACSM4	1.24	0
CD163L1	0.86	0
CD163	0.44	0
APOBEC1	1.59	0
GDF3	1.31	0
DPPA3	0.89	0.22
CLEC4C	1.32	0
NANOGNB	1.12	0
NANOG	0.56	0.72
SLC2A14	0.6	0.04
SLC2A3	0.65	0.01
FOXJ2	0.24	1
C3AR1	1.58	0
NECAP1	0.65	0.13
CLEC4A	1.3	0
ZNF705A	1.7	0
FAM90A1	1.87	0
CLEC6A	1.44	0
CLEC4D	1.57	0
CLEC4E	1.29	0
AICDA	1.33	0
MFAP5	0.85	0.01
RIMKLB	0.49	0.59
A2ML1	0.95	0
PHC1	0.24	1
M6PR	0.76	0.01
KLRG1	1.18	0
A2M	0.54	0
PZP	0.97	0
KLRB1	1.44	0
CLEC2D	0.67	0.23
CLECL1	1.31	0.26
CD69	0.92	0.03
KLRF1	1.48	0
CLEC2B	1.19	0.01
KLRF2	1.93	0
CLEC2A	1.84	0
CLEC12A	1.43	0
CLEC1B	1.45	0
CLEC12B	1.1	0
CLEC9A	1.21	0
CLEC1A	1.93	0
CLEC7A	1.88	0
OLR1	0.8	0.01
TMEM52B	1.55	0
GABARAPL1	0.5	0.84
KLRD1	1.21	0
KLRK1	1.8	0
KLRC4	1.46	0.01
NKG2-E	1.71	0
KLRC3	1.64	0
KLRC2	1.81	0
KLRC1	1.31	0
EIF2S3L	1.28	0
MAGOHB	0.74	0.33
STYK1	1.19	0
YBX3	0.96	0
TAS2R7	1.26	0.03
TAS2R8	NA	 NA
TAS2R9	NA	 NA
PRH1	1.36	0.01
TAS2R10	NA	 NA
PRR4	1.72	0.04
TAS2R13	NA	 NA
PRH2	1.68	0.01
TAS2R14	NA	 NA
TAS2R50	NA	 NA
TAS2R20	NA	 NA
TAS2R19	NA	 NA
TAS2R31	NA	 NA
TAS2R46	NA	 NA
TAS2R43	NA	 NA
TAS2R30	NA	 NA
TAS2R42	NA	 NA
PRB3	1.31	0
PRB4	1.98	0
PRB1	1.92	0
PRB2	1.97	0
ETV6	0.32	0.97
BCL2L14	1.11	0
LRP6	0.32	0.7
MANSC1	1.33	0.01
LOH12CR2	1.31	0.52
LOH12CR1	1.13	0
DUSP16	0.5	0.09
CREBL2	0.56	0.72
GPR19	0.68	0.1
CDKN1B	0.65	0.62
APOLD1	1.74	0
DDX47	0.98	0
GPRC5A	1.63	0
GPRC5D	0.9	0
HEBP1	1.76	0
KIAA1467	0.5	0.03
GSG1	0.93	0
EMP1	0.79	0.5
C12orf36	1.81	0.03
GRIN2B	0.06	1
ATF7IP	0.21	1
PLBD1	1.26	0
GUCY2C	1.08	0
HIST4H4	1.9	0.02
H2AFJ	1.35	0.25
WBP11	0.15	1
C12orf60	1.69	0.05
SMCO3	1.63	0.01
ART4	1.07	0
MGP	1.66	0
ERP27	1.86	0
ARHGDIB	1.3	0
PDE6H	1.81	0.01
RERG	1.28	0
PTPRO	0.47	0
EPS8	0.31	0.97
STRAP	0.38	0.9
DERA	0.91	0
SLC15A5	1.18	0
MGST1	1.72	0
LMO3	0.57	0.71
